what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1374765103242
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1374765103274
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1374765103297
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1374765103379
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1374765103402
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1374765103486
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1374765103509
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1374765103509
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1374765103614
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1374765103705
os,sysinfo,,,"win32",1374765103710
arch,sysinfo,,,"x86_64",1374765103710
ws,sysinfo,,,"win32",1374765103710
locale,sysinfo,,,"en_US",1374765103710
processors,sysinfo,,,"4",1374765103710
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374765103710
java.runtime.version,sysinfo,,,"1.7.0-b147",1374765103710
java.specification.name,sysinfo,,,"Java Platform API Specification",1374765103710
java.specification.vendor,sysinfo,,,"Oracle Corporation",1374765103710
java.specification.version,sysinfo,,,"1.7",1374765103710
java.vendor,sysinfo,,,"Oracle Corporation",1374765103710
java.version,sysinfo,,,"1.7.0",1374765103710
java.vm.info,sysinfo,,,"mixed mode",1374765103710
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1374765103710
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374765103710
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1374765103710
java.vm.specification.version,sysinfo,,,"1.7",1374765103710
java.vm.vendor,sysinfo,,,"Oracle Corporation",1374765103710
java.vm.version,sysinfo,,,"21.0-b17",1374765103710
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1374765103780
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1374765104008
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1374765104521
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1374765104548
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1374765104562
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374765104619
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1374765105003
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1374765106371
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1374765106373
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1374765106404
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1374765108256
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1374765108804
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1374765108870
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1374765108932
